date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,platform_fee_paid,perf_fee_paid,platform_fees_cum,cum_gross_contrib,cagr_pct,total_roi_pct
2019/01/25,BUY,Base1,50,3649.62,0,0,0,51.9732831,0,0,51.9732831,189682.73,430529.94,55.942,0,0,0,0,0,209.622,28000,92.2591,577.4383
2019/01/26,BUY,Base1,50,3644.64,0,0,0,51.9732831,0,0,51.9732831,189423.91,430529.94,56.0022,0,0,0,0,0,209.622,28000,92.0522,576.514
2019/01/27,BUY,Base1,50,3631.87,0,0,0,51.9732831,0,0,51.9732831,188760.21,430529.94,56.1563,0,0,0,0,0,209.622,28000,91.7056,574.1436
2019/01/28,BUY,Base1,50,3505.99,0,0,0,51.9732831,0,0,51.9732831,182217.81,430529.94,57.6759,0,0,0,0,0,209.622,28000,89.3004,550.7779
2019/01/29,BUY,Base1,50,3466.69,0,0,0,51.9732831,0,0,51.9732831,180175.26,430529.94,58.1504,0,0,0,0,0,209.622,28000,88.4632,543.4831
2019/01/30,BUY,Base1,50,3510.1,0,0,0,51.9732831,0,0,51.9732831,182431.42,430529.94,57.6263,0,0,0,0,0,209.622,28000,89.1509,551.5408
2019/01/31,BUY,Base1,50,3477.94,0,0,0,51.9732831,0,0,51.9732831,180759.96,430529.94,58.0145,0,0,0,0,0,209.622,28000,88.4485,545.5713
2019/02/01,BUY,Base1,50,3498.07,495.3568,-247.6784,247.6784,51.9732831,0.07074765,0.00005664,52.04403075,182301.34,430529.94,57.6565,0,500,495.3568,3.7433,0,213.3652,28500,87.7498,539.6538
2019/02/02,BUY,Base1,50,3528.39,247.6784,-123.8392,123.8392,52.04403075,0.03506985,0.00002808,52.07910061,183879.22,430529.94,57.29,0,0,0,0,0,213.3652,28500,88.1892,545.1902
2019/02/03,BUY,Base1,50,3481.85,123.8392,-61.9196,61.9196,52.07910061,0.01776931,0.00001423,52.09686991,181455.41,430529.94,57.853,0,0,0,0,0,213.3652,28500,87.2352,536.6856
2019/02/04,BUY,Base1,50,3489.24,61.9196,-30.9598,30.9598,52.09686991,0.00886584,0.0000071,52.10573575,181840.38,430529.94,57.7636,0,0,0,0,0,213.3652,28500,87.2607,538.0364
2019/02/05,BUY,Base1,50,3508.8,30.9598,-15.4799,15.4799,52.10573575,0.00440821,0.00000353,52.11014395,182859.55,430529.94,57.5269,0,0,0,0,0,213.3652,28500,87.506,541.6125
2019/02/06,BUY,Base1,50,3438.82,15.4799,-7.7399,7.7399,52.11014395,0.00224896,0.0000018,52.11239291,179212.88,430529.94,58.3739,0,0,0,0,0,213.3652,28500,86.1258,528.8171
2019/02/07,BUY,Base1,50,3431.01,7.7399,-3.87,3.87,52.11239291,0.00112704,0.0000009,52.11351995,178805.88,430529.94,58.4684,0,0,0,0,0,213.3652,28500,85.8763,527.389
2019/02/08,BUY,Base1,50,3672.57,3.87,-1.935,1.935,52.11351995,0.00052645,0.00000042,52.1140464,191394.42,430529.94,55.5445,0,0,0,0,0,213.3652,28500,90.0818,571.5594
2019/02/09,BUY,Base1,50,3686.77,1.935,-0.9675,0.9675,52.1140464,0.00026221,0.00000021,52.11430862,192134.44,430529.94,55.3726,0,0,0,0,0,213.3652,28500,90.2164,574.1559
2019/02/10,BUY,Base1,50,3712.26,0.9675,-0.4837,0.4837,52.11430862,0.00013021,0.0000001,52.11443882,193462.83,430529.94,55.064,0,0,0,0,0,213.3652,28500,90.5451,578.8169
2019/02/11,BUY,Base1,50,3648.8,0.4837,-0.2419,0.2419,52.11443882,0.00006624,0.00000005,52.11450506,190155.65,430529.94,55.8322,0,0,0,0,0,213.3652,28500,89.3309,567.2128
2019/02/12,BUY,Base1,50,3648.04,0.2419,-0.1209,0.1209,52.11450506,0.00003312,0.00000003,52.11453818,190116.04,430529.94,55.8414,0,0,0,0,0,213.3652,28500,89.2065,567.0738
2019/02/13,BUY,Base1,50,3643.92,0.1209,-0.0605,0.0605,52.11453818,0.00001658,0.00000001,52.11455476,189901.33,430529.94,55.8913,0,0,0,0,0,213.3652,28500,89.0239,566.3205
2019/02/14,BUY,Base1,50,3634.14,0.0605,-0.0302,0.0302,52.11455476,0.00000831,0.00000001,52.11456308,189391.65,430529.94,56.0096,0,0,0,0,0,213.3652,28500,88.7432,564.5321
2019/02/15,BUY,Base1,50,3653.17,0.0302,-0.0151,0.0151,52.11456308,0.00000413,0,52.11456721,190383.39,430529.94,55.7793,0,0,0,0,0,213.3652,28500,88.9637,568.0119
2019/02/16,BUY,Base1,50,3584.13,0.0151,-0.0076,0.0076,52.11456721,0.00000211,0,52.11456932,186785.4,430529.94,56.615,0,0,0,0,0,213.3652,28500,87.651,555.3874
2019/02/17,BUY,Base1,50,3708.35,0.0076,-0.0038,0.0038,52.11456932,0.00000102,0,52.11457034,193259.07,430529.94,55.1114,0,0,0,0,0,213.3652,28500,89.6924,578.102
2019/02/18,BUY,Base1,50,3926.33,0.0038,-0.0019,0.0019,52.11457034,0.00000048,0,52.11457082,204619,430529.94,52.4728,0,0,0,0,0,213.3652,28500,93.2347,617.9614
2019/02/19,BUY,Base1,50,3877.94,0.0019,-0.0009,0.0009,52.11457082,0.00000024,0,52.11457106,202097.18,430529.94,53.0585,0,0,0,0,0,213.3652,28500,92.3204,609.1129
2019/02/20,BUY,Base1,50,4005.55,0.0009,-0.0005,0.0005,52.11457106,0.00000012,0,52.11457118,208747.52,430529.94,51.5138,0,0,0,0,0,213.3652,28500,94.2926,632.4474
2019/02/21,BUY,Base1,50,3921.67,0.0005,-0.0002,0.0002,52.11457118,0.00000006,0,52.11457124,204376.15,430529.94,52.5292,0,0,0,0,0,213.3652,28500,92.8102,617.1093
2019/02/22,BUY,Base1,50,3942.93,0.0002,-0.0001,0.0001,52.11457124,0.00000003,0,52.11457127,205484.11,430529.94,52.2718,0,0,0,0,0,213.3652,28500,93.0421,620.9969
2019/02/23,BUY,Base2,45,4153.6,0.0001,-0.0001,0.0001,52.11457127,0.00000001,0,52.11457128,216463.08,430529.94,49.7217,0,0,0,0,0,213.3652,28500,96.296,659.5196
2019/02/24,BUY,Base1,50,3831.08,0.0001,0,0,52.11457128,0.00000001,0,52.11457129,199655.09,430529.94,53.6257,0,0,0,0,0,213.3652,28500,90.9759,600.5442
2019/02/25,BUY,Base1,50,3899.09,0,0,0,52.11457129,0,0,52.11457129,203199.4,430529.94,52.8025,0,0,0,0,0,213.3652,28500,91.982,612.9804
2019/02/26,BUY,Base1,50,3878.9,0,0,0,52.11457129,0,0,52.1145713,202147.21,430529.94,53.0469,0,0,0,0,0,213.3652,28500,91.5381,609.2885
2019/02/27,BUY,Base1,50,3898.83,0,0,0,52.1145713,0,0,52.1145713,203185.85,430529.94,52.8056,0,0,0,0,0,213.3652,28500,91.7507,612.9328
2019/02/28,BUY,Base1,50,3792.99,0,0,0,52.1145713,0,0,52.1145713,197670.05,430529.94,54.0868,0,0,0,0,0,213.3652,28500,89.8989,593.5791
2019/03/01,BUY,Base1,50,3897.88,495.3568,-247.6784,247.6784,52.1145713,0.06349098,0.00005083,52.17806228,203631.5,430529.94,52.7021,0,500,495.3568,3.7433,0,217.1085,29000,90.5639,602.1776
2019/03/02,BUY,Base1,50,3895.55,247.6784,-123.8392,123.8392,52.17806228,0.03176448,0.00002543,52.20982676,203509.83,430529.94,52.7304,0,0,0,0,0,217.1085,29000,90.4151,601.758
2019/03/03,BUY,Base1,50,3877.17,123.8392,-61.9196,61.9196,52.20982676,0.01595753,0.00001278,52.22578429,202550.16,430529.94,52.9533,0,0,0,0,0,217.1085,29000,90.0074,598.4488
2019/03/04,BUY,Base1,50,3796.48,61.9196,-30.9598,30.9598,52.22578429,0.00814835,0.00000652,52.23393264,198336.04,430529.94,53.9321,0,0,0,0,0,217.1085,29000,88.5845,583.9174
2019/03/05,BUY,Base1,50,3920.32,30.9598,-15.4799,15.4799,52.23393264,0.00394547,0.00000316,52.23787811,204804.68,430529.94,52.4296,0,0,0,0,0,217.1085,29000,90.4811,606.223
2019/03/06,BUY,Base1,50,3916.47,15.4799,-7.7399,7.7399,52.23787811,0.00197468,0.00000158,52.23985278,204603.56,430529.94,52.4763,0,0,0,0,0,217.1085,29000,90.3089,605.5295
2019/03/07,BUY,Base1,50,3923.12,7.7399,-3.87,3.87,52.23985278,0.00098566,0.00000079,52.24083845,204950.95,430529.94,52.3957,0,0,0,0,0,217.1085,29000,90.3048,606.7274
2019/03/08,BUY,Base1,50,3910.99,3.87,-1.935,1.935,52.24083845,0.00049436,0.0000004,52.24133281,204317.27,430529.94,52.5428,0,0,0,0,0,217.1085,29000,90.0011,604.5423
2019/03/09,BUY,Base1,50,3985.94,1.935,-0.9675,0.9675,52.24133281,0.00024253,0.00000019,52.24157534,208232.75,430529.94,51.6334,0,0,0,0,0,217.1085,29000,91.0791,618.044
2019/03/10,BUY,Base1,50,3962.29,0.9675,-0.4837,0.4837,52.24157534,0.00012199,0.0000001,52.24169733,206997.24,430529.94,51.9204,0,0,0,0,0,217.1085,29000,90.5954,613.7836
2019/03/11,BUY,Base1,50,3877.83,0.4837,-0.2419,0.2419,52.24169733,0.00006232,0.00000005,52.24175965,202584.9,430529.94,52.9452,0,0,0,0,0,217.1085,29000,89.1442,598.5686
2019/03/12,BUY,Base1,50,3942.77,0.2419,-0.1209,0.1209,52.24175965,0.00003065,0.00000002,52.2417903,205977.48,430529.94,52.1572,0,0,0,0,0,217.1085,29000,90.0673,610.2672
2019/03/13,BUY,Base1,50,3932.12,0.1209,-0.0605,0.0605,52.2417903,0.00001537,0.00000001,52.24180567,205421.11,430529.94,52.2865,0,0,0,0,0,217.1085,29000,89.7899,608.3487
