date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,perf_fee_paid,cum_gross_contrib,cagr_pct,,,
2023/02/12,BUY,Base2,27,21790.25,26.4025,-7.1287,19.2738,3.68483922,0.00032689,0.00000026,3.68516611,80319.96,164199.24,51.0838,0,0,0,0,29000,38.6756,,,
2023/02/13,BUY,Base2,27,21792.52,19.2738,-5.2039,14.0699,3.68516611,0.0002386,0.00000019,3.68540471,80328.33,164199.24,51.0787,0,0,0,0,29000,38.6404,,,
2023/02/14,BUY,Base2,27,22208.92,14.0699,-3.7989,10.271,3.68540471,0.00017091,0.00000014,3.68557563,81862.93,164199.24,50.1442,0,0,0,0,29000,39.4436,,,
2023/02/15,BUY,Base3,22,24323.52,10.271,-2.2596,8.0114,3.68557563,0.00009282,0.00000007,3.68566845,89656.44,164199.24,45.3978,0,0,0,0,29000,43.5207,,,
2023/02/16,BUY,Base3,22,23533.28,8.0114,-1.7625,6.2489,3.68566845,0.00007483,0.00000006,3.68574328,86743.88,164199.24,47.1716,0,0,0,0,29000,41.9678,,,
2023/02/17,BUY,Base3,22,24571.62,6.2489,-1.3748,4.8741,3.68574328,0.0000559,0.00000004,3.68579919,90570.93,164199.24,44.8408,0,0,0,0,29000,43.8959,,,
2023/02/18,BUY,Base3,22,24635.53,4.8741,-1.0723,3.8018,3.68579919,0.00004349,0.00000003,3.68584268,90806.49,164199.24,44.6974,0,0,0,0,29000,43.9695,,,
2023/02/19,BUY,Base3,22,24279.63,3.8018,-0.8364,2.9654,3.68584268,0.00003442,0.00000003,3.6858771,89494.7,164199.24,45.4963,0,0,0,0,29000,43.2571,,,
2023/02/20,BUY,Base3,22,24835.76,2.9654,-0.6524,2.313,3.6858771,0.00002625,0.00000002,3.68590335,91544.52,164199.24,44.2479,0,0,0,0,29000,44.2496,,,
2023/02/21,BUY,Base3,22,24444.1,2.313,-0.5089,1.8042,3.68590335,0.0000208,0.00000002,3.68592415,90100.9,164199.24,45.1271,0,0,0,0,29000,43.4755,,,
2023/02/22,BUY,Base3,22,24186.09,1.8042,-0.3969,1.4072,3.68592415,0.0000164,0.00000001,3.68594055,89149.9,164199.24,45.7063,0,0,0,0,29000,42.9469,,,
